,k,p
0,0,0.021676871
1,1,0.035557152
2,2,0.056305599
3,3,0.070449008
4,4,0.101896831
5,5,0.124359571
6,6,0.150690579
7,7,0.160603981
8,8,0.180392157
9,9,0.195391107
10,10,0.221327968
11,11,0.26010929
12,12,0.279448622
13,13,0.315918367
14,14,0.323129252
15,15,0.391463415
16,16,0.414304993
17,17,0.460227273
18,18,0.475806452
19,19,0.495073892
20,20,0.529230769
21,21,0.529230769
22,22,0.56916996
23,23,0.584415584
24,24,0.610526316
25,25,0.647058824
26,26,0.647058824
27,27,0.675
28,28,0.681318681
29,29,0.679487179
30,30,0.679487179
31,31,0.727272727
32,32,0.844444444
33,33,0.844444444
34,34,0.844444444
35,35,0.844444444
36,36,0.844444444
37,37,0.844444444
38,38,0.857142857
39,39,0.857142857
40,40,0.904761905
41,41,1
42,42,1
43,43,1
44,44,1
45,45,1
46,46,1
47,47,1
48,48,1
49,49,1
50,50,1
51,51,1
52,52,1
53,53,1
54,54,1
55,55,1
56,56,1
57,57,1
58,58,1
59,59,1
60,60,1
61,61,1
62,62,1
63,63,1
64,64,1
65,65,1
66,66,1
67,67,1
68,68,1
69,69,1
70,70,1
71,71,1
72,72,1
73,73,1
74,74,1
75,75,1
76,76,1
77,77,1
78,78,1
79,79,1
80,80,1
81,81,1
82,82,1
83,83,1
84,84,1
85,85,1
86,86,1
87,87,1
88,88,1