,k,p,,,,,,k,p,,
0,0,0.069107551,,,,,,0,,0.021676871,0.069107551
1,1,0.100748013,,,,,,1,,0.035557152,0.100748013
2,2,0.139298246,,,,,,2,,0.056305599,0.139298246
3,3,0.207501512,,,,,,3,,0.070449008,0.207501512
4,4,0.296969697,,,,,,4,,0.101896831,0.296969697
5,5,0.357624831,,,,,,5,,0.124359571,0.357624831
6,6,0.449596774,,,,,,6,,0.150690579,0.449596774
7,7,0.5,,,,,,7,,0.160603981,0.5
8,8,0.553846154,,,,,,8,,0.180392157,0.553846154
9,9,0.661904762,,,,,,9,,0.195391107,0.661904762
10,10,0.689473684,,,,,,10,,0.221327968,0.689473684
11,11,0.738562092,,,,,,11,,0.26010929,0.738562092
12,12,0.8,,,,,,12,,0.279448622,0.8
13,13,0.8,,,,,,13,,0.315918367,0.8
14,14,0.897435897,,,,,,14,,0.323129252,0.897435897
15,15,0.909090909,,,,,,15,,0.391463415,0.909090909
16,16,0.927272727,,,,,,16,,0.414304993,0.927272727
17,17,1,,,,,,17,,0.460227273,1
18,18,1,,,,,,18,,0.475806452,
19,19,1,,,,,,19,,0.495073892,
20,20,1,,,,,,20,,0.529230769,
21,21,1,,,,,,21,,0.529230769,
22,22,1,,,,,,22,,0.56916996,
23,23,1,,,,,,23,,0.584415584,
24,24,1,,,,,,24,,0.610526316,
25,25,1,,,,,,25,,0.647058824,
26,26,1,,,,,,26,,0.647058824,
27,27,1,,,,,,27,,0.675,
28,28,1,,,,,,28,,0.681318681,
29,29,1,,,,,,29,,0.679487179,
30,30,1,,,,,,30,,0.679487179,
31,31,1,,,,,,31,,0.727272727,
32,32,1,,,,,,32,,0.844444444,
33,33,1,,,,,,33,,0.844444444,
34,34,1,,,,,,34,,0.844444444,
35,35,1,,,,,,35,,0.844444444,
36,36,1,,,,,,36,,0.844444444,
37,37,1,,,,,,37,,0.844444444,
38,38,1,,,,,,38,,0.857142857,
39,39,1,,,,,,39,,0.857142857,
40,40,1,,,,,,40,,0.904761905,
41,41,1,,,,,,41,,1,
42,42,1,,,,,,42,,,
43,43,1,,,,,,43,,,
44,44,1,,,,,,44,,,
45,45,1,,,,,,45,,,
46,46,1,,,,,,46,,,
47,47,1,,,,,,47,,,
48,48,1,,,,,,48,,,
49,49,1,,,,,,49,,,
50,50,1,,,,,,50,,,
51,51,1,,,,,,,,,
52,52,1,,,,,,,,,
53,53,1,,,,,,,,,
54,54,1,,,,,,,,,
55,55,1,,,,,,,,,
56,56,1,,,,,,,,,
57,57,1,,,,,,,,,
58,58,1,,,,,,,,,
59,59,1,,,,,,,,,
60,60,1,,,,,,,,,
61,61,1,,,,,,,,,
62,62,1,,,,,,,,,
63,63,1,,,,,,,,,
64,64,1,,,,,,,,,
65,65,1,,,,,,,,,