Id,Label,weight
Liu Bei,Liu Bei,424
Cao Cao,Cao Cao,233
Zhang Fei,Zhang Fei,210
Xu Shu,Xu Shu,104
Guan Yu,Guan Yu,85
Lü Bu,Lü Bu,108
Zhao Yun,Zhao Yun,63
Ma Chao,Ma Chao,62
Zhuge Liang,Zhuge Liang,60
Dong Zhuo,Dong Zhuo,52
The emperor,The emperor,41
Xiahou Dun,Xiahou Dun,29
Sima Zhongxiang,Sima Zhongxiang,25
Zhang Bao,Zhang Bao,20
Yuan Shao,Yuan Shao,19
the Prince of Ji,the Prince of Ji,16
the prefect,the prefect,14
Zhang Biao,Zhang Biao,13
Sima Yi,Sima Yi,10
Dong Cheng,Dong Cheng,10
The Prince of Ji,The Prince of Ji,10
Chen Gong,Chen Gong,10
The eight men,The eight men,9
Emperor Xian,Emperor Xian,9
Wang Yun,Wang Yun,9
Zhang Jue,Zhang Jue,8
Ji Ping,Ji Ping,8
the Prince of Yan,the Prince of Yan,7
Liu Biao,Liu Biao,7
Zhang Liao,Zhang Liao,7
the Prince of Jing,the Prince of Jing,7
The grand marshal,The grand marshal,6
Imperial Father,Imperial Father,6
Ji Ling,Ji Ling,6
Wen Chou,Wen Chou,6
The Prince of Yan,The Prince of Yan,5
Jian Xianhe,Jian Xianhe,5
Ten Constant Attendants,Ten Constant Attendants,5
Cai Yang,Cai Yang,5
Emperor Ling,Emperor Ling,4
Huangfu Song,Huangfu Song,4
the prince,the prince,4
Yuan Shu,Yuan Shu,4
Sun Jian,Sun Jian,4
Cao Bao,Cao Bao,4
Hou Cheng,Hou Cheng,4
We have,We have,3
Duan Gui,Duan Gui,3
Li Su,Li Su,3
Che Zhou,Che Zhou,3
Kuai Yue,Kuai Yue,3
The schoolteacher,The schoolteacher,2
Wu Zilan,Wu Zilan,2
Zhang Ben,Zhang Ben,2
Cai Mao,Cai Mao,2
Sun Quan,Sun Quan,1
Zhang Yi,Zhang Yi,1
The Inspector General,The Inspector General,1
The envoy,The envoy,1
Li Ru,Li Ru,1
the farmer,the farmer,1
The soldier,The soldier,1
Yang Feng,Yang Feng,1
Xu You,Xu You,1
Gong Gu,Gong Gu,1
The master,The master,1
The acolyte,The acolyte,1
Liu Cong,Liu Cong,1
Consort Gan,Consort Gan,1